Month,Nintendo Wii
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,<1
2005-12,0
2006-01,0
2006-02,<1
2006-03,0
2006-04,4
2006-05,21
2006-06,11
2006-07,11
2006-08,14
2006-09,20
2006-10,21
2006-11,76
2006-12,100
2007-01,41
2007-02,27
2007-03,25
2007-04,23
2007-05,19
2007-06,21
2007-07,24
2007-08,20
2007-09,19
2007-10,28
2007-11,58
2007-12,65
2008-01,34
2008-02,21
2008-03,21
2008-04,20
2008-05,21
2008-06,19
2008-07,19
2008-08,18
2008-09,16
2008-10,18
2008-11,29
2008-12,42
2009-01,23
2009-02,14
2009-03,12
2009-04,12
2009-05,11
2009-06,11
2009-07,11
2009-08,12
2009-09,11
2009-10,13
2009-11,20
2009-12,30
2010-01,18
2010-02,12
2010-03,10
2010-04,9
2010-05,8
2010-06,9
2010-07,8
2010-08,8
2010-09,7
2010-10,8
2010-11,14
2010-12,18
2011-01,10
2011-02,7
2011-03,6
2011-04,6
2011-05,6
2011-06,9
2011-07,6
2011-08,6
2011-09,5
2011-10,6
2011-11,9
2011-12,12
2012-01,7
2012-02,5
2012-03,4
2012-04,4
2012-05,4
2012-06,5
2012-07,5
2012-08,4
2012-09,6
2012-10,5
2012-11,9
2012-12,10
2013-01,6
2013-02,4
2013-03,4
2013-04,4
2013-05,4
2013-06,4
2013-07,4
2013-08,4
2013-09,3
2013-10,4
2013-11,5
2013-12,8
2014-01,5
2014-02,3
2014-03,3
2014-04,3
2014-05,3
2014-06,5
2014-07,4
2014-08,4
2014-09,3
2014-10,3
2014-11,5
2014-12,7
2015-01,4
2015-02,4
2015-03,3
2015-04,3
2015-05,3
2015-06,3
2015-07,3
2015-08,3
2015-09,3
2015-10,3
2015-11,4
2015-12,6
2016-01,3
2016-02,3
2016-03,3
2016-04,2
2016-05,2
2016-06,2
2016-07,3
2016-08,2
2016-09,2
2016-10,3
2016-11,4
2016-12,4
2017-01,4
2017-02,3
2017-03,4
2017-04,2
2017-05,2
2017-06,2
2017-07,2
2017-08,2
2017-09,2
2017-10,2
2017-11,4
2017-12,4
2018-01,3
2018-02,2
2018-03,2
2018-04,2
2018-05,2
2018-06,2
2018-07,2
2018-08,2
2018-09,2
2018-10,2
2018-11,3
2018-12,3
2019-01,2
2019-02,2
2019-03,2
2019-04,1
2019-05,1
2019-06,1
2019-07,2
2019-08,2
2019-09,2
2019-10,2
