Month,trump:,obama:
2004-01,2,<1
2004-02,2,<1
2004-03,2,<1
2004-04,3,<1
2004-05,1,<1
2004-06,1,<1
2004-07,2,2
2004-08,1,1
2004-09,2,<1
2004-10,2,<1
2004-11,1,1
2004-12,2,<1
2005-01,2,<1
2005-02,1,<1
2005-03,1,<1
2005-04,1,<1
2005-05,2,<1
2005-06,1,<1
2005-07,1,<1
2005-08,1,<1
2005-09,1,<1
2005-10,1,<1
2005-11,1,<1
2005-12,1,<1
2006-01,1,<1
2006-02,1,<1
2006-03,2,<1
2006-04,1,<1
2006-05,1,<1
2006-06,1,<1
2006-07,1,<1
2006-08,1,<1
2006-09,1,<1
2006-10,1,1
2006-11,1,1
2006-12,2,1
2007-01,2,3
2007-02,1,3
2007-03,1,2
2007-04,1,2
2007-05,1,1
2007-06,1,1
2007-07,1,2
2007-08,1,1
2007-09,1,1
2007-10,1,2
2007-11,1,2
2007-12,1,3
2008-01,1,13
2008-02,1,22
2008-03,1,13
2008-04,1,9
2008-05,1,10
2008-06,1,12
2008-07,1,9
2008-08,1,17
2008-09,1,22
2008-10,1,38
2008-11,1,55
2008-12,1,12
2009-01,1,37
2009-02,1,17
2009-03,1,13
2009-04,1,13
2009-05,1,8
2009-06,1,10
2009-07,1,9
2009-08,1,8
2009-09,1,12
2009-10,1,9
2009-11,1,10
2009-12,1,7
2010-01,1,7
2010-02,1,6
2010-03,1,7
2010-04,1,6
2010-05,1,6
2010-06,1,5
2010-07,1,5
2010-08,1,5
2010-09,1,5
2010-10,1,5
2010-11,1,6
2010-12,1,4
2011-01,1,5
2011-02,1,5
2011-03,2,5
2011-04,3,6
2011-05,3,10
2011-06,1,4
2011-07,1,4
2011-08,1,5
2011-09,1,5
2011-10,1,5
2011-11,1,5
2011-12,1,4
2012-01,1,6
2012-02,1,6
2012-03,1,6
2012-04,1,6
2012-05,1,6
2012-06,1,6
2012-07,1,6
2012-08,1,7
2012-09,1,13
2012-10,2,17
2012-11,1,23
2012-12,1,6
2013-01,1,8
2013-02,1,6
2013-03,1,5
2013-04,1,5
2013-05,1,4
2013-06,1,4
2013-07,1,4
2013-08,1,4
2013-09,1,5
2013-10,1,6
2013-11,1,4
2013-12,1,6
2014-01,1,5
2014-02,1,5
2014-03,1,6
2014-04,1,4
2014-05,1,4
2014-06,1,4
2014-07,1,4
2014-08,1,4
2014-09,1,5
2014-10,1,4
2014-11,1,6
2014-12,1,5
2015-01,1,6
2015-02,1,5
2015-03,1,5
2015-04,1,4
2015-05,1,3
2015-06,4,4
2015-07,7,5
2015-08,10,3
2015-09,8,4
2015-10,6,4
2015-11,6,5
2015-12,11,5
2016-01,10,5
2016-02,17,5
2016-03,28,6
2016-04,14,4
2016-05,16,6
2016-06,16,5
2016-07,27,7
2016-08,23,5
2016-09,24,5
2016-10,48,6
2016-11,100,13
2016-12,24,5
2017-01,67,15
2017-02,48,5
2017-03,29,4
2017-04,23,3
2017-05,29,3
2017-06,25,3
2017-07,23,2
2017-08,25,3
2017-09,19,2
2017-10,22,2
2017-11,19,3
2017-12,20,2
2018-01,23,3
2018-02,18,4
2018-03,19,2
2018-04,20,2
2018-05,16,2
2018-06,22,2
2018-07,21,2
2018-08,20,2
2018-09,18,3
2018-10,17,2
2018-11,19,3
2018-12,19,3
2019-01,23,3
2019-02,17,3
2019-03,14,2
2019-04,13,2
2019-05,13,2
2019-06,16,2
2019-07,16,2
2019-08,16,2
2019-09,17,2
2019-10,21,2
